page,rank,rank_change,product_id,product_name,price_band,shop_name,user_payment_amount,click_count,deal_count,click_deal_conversion,product_row_key,product_image_url,shop_image_url
2,11,11 3,3832545205626733037,【冻干咖啡块】吴彦祖咖啡WHATEVER COFFEE 阿拉比卡冻干固态咖啡块,¥25-¥99,WHATEVER COFFEE,¥250万 - ¥500万,25万 - 50万,5万 - 7.5万,20% - 25%,3832545205626733037_11,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_b1599a25674c6cd6c0a6683ed2358ff1_sx_287819_www1200-1200,https://p3-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/d9edac651d7f4b95b4760140e4e1c4aa~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818403781&x-signature=eeGBVjcpwDH593hWQVHOyefsFb0%3D
2,12,12 10,3786205465604653282,【达人专属】新品！到手69杯起 瑞幸即享唤醒系列醇浓黑咖啡0脂,¥109-¥169,瑞幸即享官方旗舰店,¥250万 - ¥500万,75万 - 100万,2.5万 - 5万,7.5% - 10%,3786205465604653282_12,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/png_m_a89beb151da2908d2f1e8b59bbd7808e_sx_509228_www800-800,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/815e4d8a726f44b09ddb08116ff431e2~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818404257&x-signature=%2BaXiHfmVo%2F9VVVaq6gS2l%2BjNrO0%3D
2,13,13 -,3809805582941159953,【新鲜日期】花园新疆牧场200g10盒*5箱纯牛奶营养学生早餐奶牛奶,¥99,花园官方旗舰店,¥250万 - ¥500万,25万 - 50万,2.5万 - 5万,15% - 20%,3809805582941159953_13,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_fe6a8853b6a83437b22f24ad2b926fc5_sx_122647_www800-800,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/ccba8c2a112d44c3aee9737bd1840a66~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818401210&x-signature=O8bzVzo0eermSRjxGOJ%2BPGVq3bM%3D
2,14,14 首次上榜,3778710683240235023,轻滋畅【官方正品】西梅奇亚籽奶昔甄选发酵酸奶饮品营养休闲饮料,¥79,轻滋畅官方旗舰店,¥250万 - ¥500万,25万 - 50万,2.5万 - 5万,20% - 25%,3778710683240235023_14,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_754d91fa948c73feb813664f6d3c7d2e_sx_891365_www800-800,https://p3-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/6fed439007584b68bef1c220e8e3fb2e~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818404437&x-signature=ceAQrhJaOvxj4yzjpOzw5IK70oM%3D
2,15,15 3,3833182421906489795,【送玻璃搅拌杯】九阳豆浆纯黄豆黑豆低嘌呤豆浆粉高蛋白营养早餐cd,¥99,九阳豆浆官方旗舰店,¥250万 - ¥500万,25万 - 50万,2.5万 - 5万,15% - 20%,3833182421906489795_15,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/png_m_c452784385aec836ac3e1efb23a01629_sx_764577_www800-800,https://p3-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/dc04ea0708334d248b74cdf1de6f63b2~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818403125&x-signature=mamFNDHP7rKU61ClCRFG8R%2FM55c%3D
2,16,16 首次上榜,3801419156641939711,【与辉定制】九阳豆浆黄豆/黑豆黄豆/姜黄豆浆粉,¥46-¥65,九阳豆浆官方旗舰店,¥250万 - ¥500万,50万 - 75万,5万 - 7.5万,10% - 15%,3801419156641939711_16,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_7cb5fc81d17c54c41ceab4e8c4949a6a_sx_117115_www800-800,https://p3-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/dc04ea0708334d248b74cdf1de6f63b2~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818403125&x-signature=mamFNDHP7rKU61ClCRFG8R%2FM55c%3D
2,17,17 首次上榜,3835235500218777615,2026新茶茉莉雪螺王手工揉捻全芽带小鱼叶 适口性强耐泡袋装,¥108-¥200,老贰的陆店,¥250万 - ¥500万,10万 - 25万,1万 - 2.5万,15% - 20%,3835235500218777615_17,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_8bbf7563aa41d6b3635fa56102d23576_sx_563511_www800-800,https://p3-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/ac66280308b84acebbb678dd381f785f~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818402259&x-signature=aDTEoqlo50PP0pQQ0z9Ws0L2hvA%3D
2,18,18 104,3831503143481509468,【优驼官方】新疆纯正全脂驼乳粉高钙双有机骆驼奶粉300克/罐,¥596,优驼官方旗舰店,¥250万 - ¥500万,7.5万 - 10万,"5,000 - 7,500",10% - 15%,3831503143481509468_18,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/png_m_2dfab6b186927dbc47b6c71b9c383bc4_sx_780437_www800-800,https://p3-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/ee8d21c8bbaf4bd2976d96f5322be2d1~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818402290&x-signature=H2t36LXQ24hx627QBzyvc5Jw%2F%2F8%3D
2,19,19 14,3831313664439353390,【推荐官专属】西麦即食纯燕麦5黑燕麦高钙奇亚籽早餐代餐冲饮FY,¥99,西麦官方旗舰店,¥250万 - ¥500万,25万 - 50万,2.5万 - 5万,10% - 15%,3831313664439353390_19,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/png_m_0c1247f185980a31e730bca27c9407a5_sx_998702_www800-800,https://p6-ecom-qualification-sign.ecombdimg.com/temai/16158586870b37097a4d9b42f47b925b8cb4a214df5204a109~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818402706&x-signature=F7UF88Q4N1Q9gBwiSPFJkuK9lrU%3D
2,20,20 16,3774181704684666928,【日夜搭配三件套】FITO菲途咖啡礼盒黑白绷带阿拉比卡拿铁S,¥299-¥352,FITO官方旗舰店,¥250万 - ¥500万,10万 - 25万,1万 - 2.5万,7.5% - 10%,3774181704684666928_20,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_c97a6e5b08fff1559488b175a61ce31a_sx_243436_www1200-1200,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/d8ed4212f6c54796b8dd2c56b470c225~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818402797&x-signature=2QE2Nso9srK8gzm2L0S9701rxHA%3D
3,21,21 2,3679335117328875976,【赵露思同款】LeTea乐品乐茶冷泡茶组合花茶原叶袋泡茶包茶叶饮料,¥89-¥99,乐品乐茶官方旗舰店,¥250万 - ¥500万,50万 - 75万,2.5万 - 5万,10% - 15%,3679335117328875976_21,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_27a17edf370703358633787d070b7b2f_sx_238412_www800-800,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/9276103ef9ad4e8ca39d47525bceb268~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818404247&x-signature=zzleicvP3vqz1YFgSHEI0heRoeI%3D
3,22,22 首次上榜,3836100794302726579,【总监专属】金味醇香原味红藜麦亚麻籽冲饮麦片燕麦片方便速食早餐,¥99,金味营养食品旗舰店,¥250万 - ¥500万,10万 - 25万,2.5万 - 5万,20% - 25%,3836100794302726579_22,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/png_m_5217f464cbe3023abec4f925221cd68d_sx_2088726_www1080-1080,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/36f0322ed1e345e0ad5a506aa4592fb0~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818404437&x-signature=3lCuBA%2FuhYTV10%2BbBLlXFAqly0M%3D
3,23,23 首次上榜,3834114485786902799,【毛博士专属】美赞臣致沛糖序配方奶粉高钙高蛋白周期装,¥398,美赞臣致沛官方旗舰店,¥100万 - ¥250万,7.5万 - 10万,"5,000 - 7,500",15% - 20%,3834114485786902799_23,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_498d7ba88c087b24410c8be4b6eb9c43_sx_553457_www800-800,https://p3-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/36c2744abeb042efaadb19fe3dec5303~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818402485&x-signature=%2BUKCikg3lfL5QNAn80VWFaCzgaA%3D
3,24,24 首次上榜,3619263963394630043,【全新升级】认养一头牛引养力牛初乳粉营养奶粉-FZB,¥378,认养一头牛奶粉旗舰店,¥100万 - ¥250万,7.5万 - 10万,"7,500 - 1万",15% - 20%,3619263963394630043_24,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/png_m_d3d603ac7b74232576001cb69893c58b_sx_1262738_www1200-1200,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/3decec31906e4144994f25cf25a0ae02~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818404245&x-signature=MDIfV4G6Zc5caifUqdYoWhKWsHs%3D
3,25,25 首次上榜,3714570912994033741,【三伏必备】五谷磨房湿旡踪营养五指毛桃谷物山药餐脂肪苹果853g*1,¥258,五谷磨房滋补旗舰店,¥100万 - ¥250万,25万 - 50万,1万 - 2.5万,10% - 15%,3714570912994033741_25,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/png_m_09b6f61e06ca26fe1627bf7cf3bd8384_sx_1315552_www1080-1080,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/0d7f016152fc4ae99da244fb5159450e~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818402358&x-signature=m5m25%2FJ4ITeFaaj3BRLgh%2BbASoU%3D
3,26,26 4,3668799639685038290,【七夕礼物】蒙牛悠瑞骨力金装奶粉中老年奶粉正品官方旗舰店牛奶粉,¥396,蒙牛食品旗舰店,¥100万 - ¥250万,10万 - 25万,"5,000 - 7,500",10% - 15%,3668799639685038290_26,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_f69ead9f8fea76cda277d74762d9a30b_sx_636173_www800-800,https://p3-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/3260aab2ae1c4055b3089eeb8d9b346a~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818402355&x-signature=sFVH8zN0tnVNa44dOA5AjpiTPTQ%3D
3,27,27 首次上榜,3836938229274247319,正宗新会小青柑普洱茶500g半生晒2026年新茶,¥289,诚食派严选,¥100万 - ¥250万,5万 - 7.5万,"7,500 - 1万",30% - 35%,3836938229274247319_27,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_21d3f6c98de1760f34a81b6456932e3b_sx_274597_www800-800,https://p3-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/429e8d79fc614f9e8e1ae7d03b265627~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818404035&x-signature=%2BGKzIWaFB2nV3XUXlXQYPuzBpZ8%3D
3,28,28 首次上榜,3785710902268003630,【空降专属】九阳豆浆西梅芭乐羽衣甘蓝奇亚籽自律豆浆粉代餐gq,¥99,九阳豆浆官方旗舰店,¥100万 - ¥250万,10万 - 25万,1万 - 2.5万,20% - 25%,3785710902268003630_28,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_aeb3f6d12e9080c96a41532e277073a4_sx_471047_www800-800,https://p3-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/dc04ea0708334d248b74cdf1de6f63b2~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818403125&x-signature=mamFNDHP7rKU61ClCRFG8R%2FM55c%3D
3,29,29 42,3779184577164214568,【100%大豆】永和豆浆原味纯豆浆粉高蛋白营养豆浆100%纯豆粉福利,¥99,永和豆浆冲饮旗舰店,¥100万 - ¥250万,50万 - 75万,1万 - 2.5万,2.5% - 5%,3779184577164214568_29,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_4bd5374da1c1a15b05c18733ddb93ac1_sx_465675_www800-800,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/0b962dc4bf5c4626942aa91b99f00d5b~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818404257&x-signature=V6ytyLqAP%2FDUQDukcIwS4H3X7Mk%3D
3,30,30 首次上榜,3836005828339564678,【淄博中医医院玉竹十白茶】科学配方真材玉竹十白茶,¥99,淄博市中医医院饮品旗舰店,¥100万 - ¥250万,25万 - 50万,1万 - 2.5万,10% - 15%,3836005828339564678_30,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_d6de679ccfa8c1b55e38042b0586c538_sx_517601_www2000-2000,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/09daef1317394d6da6980edfee4b84ea~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818401312&x-signature=X47c6rTRi59R0UfzCGrYOqizhbc%3D
4,31,31 首次上榜,3812962785424441628,【新鲜日期】花园新疆牧场纯牛奶200g*10盒*5箱奶营养健康学生早餐,¥99,花园官方旗舰店,¥100万 - ¥250万,10万 - 25万,1万 - 2.5万,10% - 15%,3812962785424441628_31,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_fe6a8853b6a83437b22f24ad2b926fc5_sx_122647_www800-800,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/ccba8c2a112d44c3aee9737bd1840a66~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818401210&x-signature=O8bzVzo0eermSRjxGOJ%2BPGVq3bM%3D
4,32,32 首次上榜,3721288488713322906,东方甄选自营沙漠纯牛奶4.0蛋白（10日内发货）营养早餐高钙健身,¥113-¥432,东方甄选官方旗舰店,¥100万 - ¥250万,7.5万 - 10万,1万 - 2.5万,20% - 25%,3721288488713322906_32,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_3d88909c1323fcad814415e9d385b520_sx_581632_www800-800,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/e099e132c284459195df7b1538a5334f~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818402809&x-signature=6pj60AYqXmlV76y%2FXHTGlfZOI20%3D
4,33,33 首次上榜,3813160051066142748,山药苹果四神汤真材实料免煮即喝果蔬汁饮料150ml/15瓶*3箱,¥119,轻上牛牛饮品旗舰店,¥100万 - ¥250万,25万 - 50万,1万 - 2.5万,15% - 20%,3813160051066142748_33,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_1f183ad04d18526f8cd0c93a8e6445fd_sx_506674_www800-800,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/ac7f87d4651245d68bb08c85e2821e7b~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818401369&x-signature=T1TMhWMrO8t3gIeLX56EqvAVZHQ%3D
4,34,34 首次上榜,3816673697280951681,【送自制豆花机】九阳豆浆羽衣甘蓝豆花粉高纤高蛋白豆腐脑轻食,¥79-¥89,九阳豆浆冲饮旗舰店,¥100万 - ¥250万,25万 - 50万,2.5万 - 5万,15% - 20%,3816673697280951681_34,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_4ab09dd447397467c630046bf6020b1f_sx_1203691_www1024-1024,https://p3-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/0f2741c1f37c4b88bed41192f8122dcd~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818401719&x-signature=b5Xsh71YClOJ4t8mKIqO26jiyrM%3D
4,35,35 20,3833005613319847974,【到手5箱】美享时刻克东天然高端苏打水大容量碱性520ml*60瓶x,¥99,美享时刻水饮旗舰店,¥100万 - ¥250万,10万 - 25万,1万 - 2.5万,15% - 20%,3833005613319847974_35,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_b3494cef544fe9f7139d014b7d01df9e_sx_402220_www800-800,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/09b2d0f882e1452d9b82eec18b85e4a6~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818403527&x-signature=zfn8zqIjxzRdpbxKvnFZ%2Ff3%2B4dc%3D
4,36,36 首次上榜,3759878945869267147,【露思同款】LeTea乐品乐茶冷泡茶高端原叶袋泡茶包茉莉花茶叶饮料,¥39,乐品乐茶官方旗舰店,¥100万 - ¥250万,50万 - 75万,2.5万 - 5万,10% - 15%,3759878945869267147_36,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_4195fc799faf3311ddfa7651d7947f91_sx_307482_www800-800,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/9276103ef9ad4e8ca39d47525bceb268~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818404247&x-signature=zzleicvP3vqz1YFgSHEI0heRoeI%3D
4,37,37 20,3784945272690443205,【直播爆款】到手94杯|瑞幸即享唤醒系列醇浓黑咖啡办公速溶0脂,¥219,瑞幸即享官方旗舰店,¥100万 - ¥250万,25万 - 50万,1万 - 2.5万,10% - 15%,3784945272690443205_37,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_a60bb39f23899f98c9e539d2ae5ec5d3_sx_391211_www800-800,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/815e4d8a726f44b09ddb08116ff431e2~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818404257&x-signature=%2BaXiHfmVo%2F9VVVaq6gS2l%2BjNrO0%3D
4,38,38 首次上榜,3833771549786243132,【粉丝专属】R41-1燃汇美灵芝黄芪咖啡固体饮料,¥399,燃汇美咖啡饮品,¥100万 - ¥250万,10万 - 25万,"5,000 - 7,500",2.5% - 5%,3833771549786243132_38,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/png_m_325d39c2c2eca5c83bed51b306bf58d7_sx_2269371_www1254-1254,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/89ea0d45bcca4951ba5ecc1ca298dcd9~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818402074&x-signature=yjuluaRMMq5pLYCbYjhD6E8Bjj8%3D
4,39,39 24,3778836742795297116,【陆毅推荐】轻上牛牛山药苹果四神汤真材实料熬煮酸甜儿童果汁饮品,¥39,轻上牛牛官方旗舰店,¥100万 - ¥250万,25万 - 50万,5万 - 7.5万,20% - 25%,3778836742795297116_39,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_5797096f6d23c2c19f787618511cc6ad_sx_705690_www800-800,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/0fbd09a97ddf48fcaab4b6523e5907a9~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818401130&x-signature=2tIL4K7LYZHWv6kMbMf4Wgcvf7g%3D
4,40,40 首次上榜,3831893113576751472,五指毛桃茯苓薏米组合湿茶独立小罐装养生茶泡水喝,¥138-¥256,真情源滋补养生专营店,¥100万 - ¥250万,10万 - 25万,1万 - 2.5万,10% - 15%,3831893113576751472_40,https://p3-aio.ecombdimg.com/obj/ecom-shop-material/png_m_cfb75d764ff68ff7d31c60c57ee67119_sx_2485509_www1058-1058,https://p6-ecom-qualification-sign.ecombdimg.com/tos-cn-i-6vegkygxbk/19b35db4750e442d977824103932fe22~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818404284&x-signature=P0u0gXSjioD6yDdegdPEIdidzH8%3D
5,41,41 7,3776792572253569927,【天润】常温3.5g/100g蛋白新疆纯牛奶早餐奶整箱180g*10盒*5箱,¥119,天润TERUN官方旗舰店,¥100万 - ¥250万,10万 - 25万,1万 - 2.5万,10% - 15%,3776792572253569927_41,https://p9-aio.ecombdimg.com/obj/ecom-shop-material/jpeg_m_12a4a76f32e09a5911eed387ff30791b_sx_255831_www800-800,https://p3-ecom-qualification-sign.ecombdimg.com/temai/162512169018f730282112fe270c1800a466bd87bf2bc0c745~tplv-6vegkygxbk-s:750.image?lk3s=c9156bde&x-expires=1818402459&x-signature=W5ke5KZRn4pIIn1kYZgqrOslIi8%3D
